ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
PLTR,2025-02-05,S - Sale,0.0051830382848275,1.4849731335126042,2025-02-03 16:00:00,-2,2,23.72,False,0.3721753457622524,0.053304166113379,0.0970312388162121,0.0755944582411236,-0.1695663669597409
PLTR,2025-02-06,S - Sale,0.0048095017637713,1.4505101490950256,2025-02-03 16:00:00,-3,3,23.72,False,0.3217053623629608,0.0967293407798463,0.0958852774112029,0.1106657557123022,-0.1258054064788018
PLTR,2025-02-13,S - Sale,0.0044087789221679,1.502774476808464,2025-02-03 16:00:00,-8,8,23.72,False,0.399441444281152,-0.0225127445768972,0.0178118902624916,-0.155256643415003,-0.2225426320235775
PLTR,2025-02-24,S - Sale+OE,0.005180246247727,1.506592563403101,2025-02-03 16:00:00,-14,14,23.72,False,,,,,
PLTR,2025-02-24,S - Sale,0.005180246247727,1.506592563403101,2025-02-03 16:00:00,-14,14,23.72,False,,,,,
PLTR,2025-03-05,S - Sale,0.005783531576968,1.5185625760613457,2025-02-03 16:00:00,-21,21,23.72,False,-0.280792309391383,-0.0336143560193824,-0.0402569032965167,0.0396323512298828,0.0711901912330278
PLTR,2025-03-07,S - Sale,0.0066905611380019,1.6009776541917384,2025-02-03 16:00:00,-23,23,23.72,False,-0.2923023835081124,0.0373674523999922,0.0579484850937668,0.0703948360286655,0.0522513200360564
PLTR,2025-03-14,S - Sale+OE,0.0073219921299913,1.6188901395269764,2025-02-03 16:00:00,-28,28,23.72,False,-0.125209320598388,0.0336192944043773,0.0111523227757458,0.0687875925202816,0.0168826191749973
PLTR,2025-03-19,S - Sale+OE,0.0074548577028705,1.5966643714916384,2025-02-03 16:00:00,-31,31,23.72,False,-0.0095109414158013,0.0092377364537936,0.0541730712590168,-0.0158735863927252,0.0327721581644641
PLTR,2025-04-02,S - Sale+OE,0.0067514762033746,1.62800092134566,2025-05-05 16:00:00,22,22,1.11,True,-0.0554892239109569,0.0582407321761805,0.0748666536166258,0.0671538560080269,0.1319532180275538
